epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,3706.93,0.86059,0.73871,0.8192,0.7568,0.66895,0.74098,0.56556,0.7497,0.64905,0.80745,0.005974,0.005974,0.005974
124,3736.39,0.85388,0.75736,0.81752,0.76204,0.66797,0.74094,0.56541,0.74874,0.64885,0.80745,0.005941,0.005941,0.005941
125,3766.76,0.86062,0.74261,0.81831,0.77147,0.66499,0.74099,0.56604,0.74773,0.64899,0.80741,0.005908,0.005908,0.005908
126,3797.19,0.85996,0.73577,0.8169,0.76846,0.6693,0.74162,0.5669,0.74736,0.64858,0.80726,0.005875,0.005875,0.005875
127,3826.29,0.85625,0.74096,0.82122,0.76355,0.66666,0.74291,0.56798,0.74661,0.64532,0.80719,0.005842,0.005842,0.005842
128,3856.55,0.85073,0.74754,0.81543,0.76851,0.66179,0.7427,0.56726,0.74614,0.64426,0.80716,0.005809,0.005809,0.005809
129,3886.13,0.85547,0.72758,0.81279,0.78108,0.65842,0.74432,0.5682,0.74633,0.64348,0.80724,0.005776,0.005776,0.005776
130,3918.45,0.84166,0.72076,0.81394,0.7723,0.6602,0.74559,0.57004,0.74684,0.64253,0.80707,0.005743,0.005743,0.005743
131,3953.91,0.86136,0.7405,0.81832,0.79722,0.64874,0.74607,0.5697,0.74623,0.64066,0.80701,0.00571,0.00571,0.00571
132,3989,0.84543,0.72469,0.81278,0.78544,0.65451,0.74685,0.57034,0.74638,0.63993,0.80696,0.005677,0.005677,0.005677
133,4022.19,0.84515,0.72581,0.8175,0.78524,0.65912,0.74639,0.57029,0.74616,0.63944,0.80694,0.005644,0.005644,0.005644
134,4052.53,0.85277,0.72718,0.81814,0.78133,0.66017,0.74612,0.57046,0.74567,0.63846,0.80698,0.005611,0.005611,0.005611
135,4083.98,0.84265,0.71353,0.81772,0.78093,0.65796,0.74747,0.57143,0.7459,0.6387,0.8071,0.005578,0.005578,0.005578
136,4114.84,0.86089,0.71536,0.81646,0.78034,0.65512,0.74939,0.57276,0.74556,0.63705,0.80706,0.005545,0.005545,0.005545
137,4146.35,0.85438,0.72563,0.81225,0.78504,0.65509,0.75013,0.57368,0.74563,0.63603,0.8071,0.005512,0.005512,0.005512
138,4180.74,0.85031,0.71924,0.81506,0.77637,0.66419,0.75025,0.57284,0.7463,0.63691,0.80701,0.005479,0.005479,0.005479
139,4212.62,0.85816,0.71547,0.81661,0.78399,0.66126,0.75076,0.57365,0.74653,0.63704,0.80707,0.005446,0.005446,0.005446
140,4244.73,0.84946,0.71367,0.81251,0.78671,0.66327,0.75228,0.57421,0.74542,0.63592,0.80701,0.005413,0.005413,0.005413
141,4279.68,0.84886,0.71399,0.81511,0.78131,0.66468,0.7529,0.57502,0.7453,0.63445,0.80694,0.00538,0.00538,0.00538
142,4313.73,0.84715,0.70376,0.81582,0.77493,0.6688,0.75273,0.5752,0.74568,0.63406,0.80689,0.005347,0.005347,0.005347
143,4345.21,0.84786,0.69575,0.81353,0.78479,0.66345,0.75346,0.57601,0.74514,0.63306,0.80691,0.005314,0.005314,0.005314
144,4380.04,0.8394,0.69579,0.81304,0.79676,0.65728,0.75373,0.57582,0.74541,0.63266,0.80688,0.005281,0.005281,0.005281
145,4412.1,0.84785,0.70411,0.81717,0.79483,0.65273,0.75365,0.57578,0.74526,0.63255,0.80677,0.005248,0.005248,0.005248
146,4442.03,0.83883,0.70234,0.81395,0.80229,0.64808,0.75371,0.57569,0.74519,0.63167,0.8067,0.005215,0.005215,0.005215
147,4474.16,0.84276,0.69876,0.81593,0.8115,0.6434,0.75398,0.57593,0.74512,0.63138,0.80658,0.005182,0.005182,0.005182
148,4508.34,0.84628,0.69826,0.81781,0.80698,0.64922,0.75451,0.57654,0.74452,0.6293,0.80655,0.005149,0.005149,0.005149
149,4541.38,0.83206,0.68052,0.81451,0.81132,0.64699,0.75494,0.57668,0.74407,0.62926,0.80657,0.005116,0.005116,0.005116
150,4573.22,0.83582,0.67912,0.81526,0.80873,0.64761,0.75521,0.57671,0.74491,0.62955,0.80656,0.005083,0.005083,0.005083
